ts_ns,pid,latency_ns
148023614930,963,0
148024458624,229,8691
148024663753,963,0
148024754408,11,81131
148025495748,229,441075
148025528700,43,3349
148025636858,229,0
148025647855,963,0
148025655525,962,9733476
148025680015,959,8958131
148025786650,963,115346
148027874494,16,8171
148027882082,43,861367
148027971925,963,0
148027984827,959,1702745
148028052846,960,0
148029447971,16,8411
148029454728,55,563993
148029477083,43,3739
148029621141,959,1179360
148029762722,960,0
148030764258,43,428073
148030883664,959,847363
148031086332,960,0
148032957877,16,16100
148032970418,229,654495
148034643821,43,8632
148034660281,16,41964
148034674497,962,1679689
148034710045,43,5143
148034844819,229,0
148034894773,962,0
148034903124,963,1913940
148034912537,959,3303758
148035019924,960,0
148036740394,16,14246
148036753987,43,683762
148036867700,55,183586
148042245265,16,734543
148042293044,43,1391905
148042414946,962,6357422
148042464018,959,6946213
148042555124,960,0
148043825086,959,724899
148043889706,961,0
148044429135,11,1975232
148044654253,962,9794
148045461898,25,1022127
148045475612,11,23499
148045480353,962,0
148045487521,959,1266964
148045562467,960,0
148045857900,959,5814
148045903554,55,0
148046425649,959,223975
148046458000,960,0
148046733143,959,5725
148046755167,961,0
148047026631,55,0
148047054500,43,3288
148048029460,55,0
148048047544,959,1027560
148048116937,960,0
148049925726,16,14687
148049937715,229,616169
148050909256,43,5172
148051299956,963,1343434
148051349238,959,2722436
148051975833,43,222692
148052320108,229,0
148052330133,959,0
148052460917,962,2508806
148053527133,55,420754
148053550922,43,2967
148053689666,55,0
148053697366,963,603468
148054463858,43,420815
148054549029,963,0
148054572588,11,7068
148054667243,25,88821
148054673087,963,0
148054687102,959,1948416
148054759401,961,0
148055876032,43,251915
148057034918,25,368294
148057076822,229,1461426
148057091679,963,437646
148057130205,229,5554
148058360478,43,7358
148058372769,16,31719
148058384267,963,0
148058411685,959,3238577
148058501889,962,0
148058880118,43,9684
148059330530,959,548426
148059422298,962,0
148060567708,229,0
148060626634,43,3759
148060733590,229,0
148060741980,959,930519
148060824906,961,0
148061958279,43,261258
148062334763,959,1093072
148062391354,962,0
148063420598,55,448122
148063445299,43,3007
148064397452,55,0
148064406064,959,1705774
148064471516,960,0
148065581250,229,410820
148065611315,959,736649
148065655083,963,49453
148065988250,43,4852
148066359291,963,0
148066368794,959,409997
148066416252,961,0
148067663906,959,940020
148067732787,963,610655
148069487121,43,15769
148069500945,959,1368336
148069560353,962,0
148069912196,959,8752
148069962230,960,0
148070550129,959,265058
148070606890,962,0
148070928739,959,5985
148070959044,961,0
148071503184,959,205730
148071536467,962,0
148071818707,959,5453
148071846596,960,0
148072426696,959,285659
148072461091,962,0
148072739322,959,5644
148072767472,961,0
148073034635,959,5674
148073062704,963,0
148073589762,25,8330
148075085647,43,15529
148075100213,11,1503553
148075107591,25,0
148075118338,959,1755138
148075215038,961,0
148076301946,959,516913
148076336471,963,0
148076600787,959,5684
148076628727,960,0
148076921112,959,6546
148076954505,960,0
148077496761,959,204588
148077530144,962,0
148077819612,25,6476
148077833055,11,7769
148078008701,25,0
148078017533,959,226743
148078165591,962,0
148079350882,16,7509
148079359243,959,916976
148079393408,963,0
148079671778,229,5654
148079844186,959,188377
148079933949,963,0
148080629956,229,403010
148080662557,43,3548
148080742205,229,0
148080749974,959,527138
148080811788,961,0
148083304582,16,9424
148083313514,43,827033
148083409923,959,1922391
148083480418,960,0
148084675083,55,437546
148084701178,43,2867
148084840223,55,0
148084845536,25,218061
148084853446,959,1059460
148085670403,43,451190
148085754502,959,0
148085792987,963,0
148086823344,229,251624
148086838983,959,711716
148086882742,962,0
148087432255,25,6766
148087622487,959,415400
148088440297,962,0
148088712021,960,0
148094507855,25,68651
148094519123,963,0
148094527393,962,0
148094558982,229,3980
148096176035,43,4080
148096186511,963,1653043
148096198661,962,0
148096216285,959,7510509
148096303070,961,0
148097185410,16,1021796
148097200287,25,1006057
148097549924,963,105632
148098407032,229,0
148098463081,43,3369
148098560793,229,0
148098569284,959,1884767
148098665744,963,0
148100228334,16,9584
148100238479,43,601615
148100337795,55,126072
148100353595,959,1171029
148100435297,961,0
148101819092,55,250642
148101845708,43,4271
148102786332,959,2020765
148102853809,961,0
148104691257,16,93672
148104703528,229,553604
148104725993,962,7137
148104757141,43,4852
148104855294,962,0
148104863595,959,1438791
148104932666,963,0
148106147842,16,7268
148106155381,962,487771
148106190518,25,3719
148106369452,962,0
148106383858,229,4732
148107363499,962,0
148107371348,959,2138366
148108159805,229,434057
148108191925,43,3429
148108271622,229,0
148108279392,959,0
148108363109,963,0
148109563799,43,439300
148109660419,959,943060
148109731265,961,0
148110828087,55,258071
148110854081,43,3468
148111742997,55,0
148111751158,959,1657043
148111808319,960,0
148112857082,229,255283
148112872420,959,722804
148112918164,963,0
148113404441,959,196759
148113436410,961,0
148113779762,959,5684
148113824403,961,0
148114328524,959,198934
148114357185,963,0
148114636578,959,5563
148114658162,960,0
148114922909,959,5674
148114944162,963,0
148115509264,959,196457
148115561564,960,0
148115828376,959,5423
148115849849,961,0
148116351935,959,203184
148116380336,960,0
148116704581,959,5955
148116726124,963,0
148116988415,959,5574
148117009718,961,0
148117485238,959,193360
148117544986,963,0
148117821292,959,5374
148117842936,960,0
148118319338,959,192067
148118347668,963,0
148118658389,959,10977
148118679502,960,0
148118940680,959,5424
148118962013,961,0
148119442054,959,192087
148119493472,960,0
148119775642,959,5674
148119796754,961,0
148120269858,959,193029
148120298289,963,0
148120620449,959,5594
148120642273,963,0
148120912433,959,5373
148120933916,960,0
148121451661,959,224637
148121481084,961,0
148121812276,959,7017
148121840155,963,0
148122514589,959,302090
148122557095,960,0
148126320359,16,14005
148126353621,961,0
148140207588,16,10105
148140218425,25,60460
148140239367,55,6917
148141455986,959,18554727
148141535734,963,0
148142177136,55,0
148142227240,963,0
148142243701,229,4391
148142509140,963,0
148142517500,960,0
148143418817,229,522617
148143528529,43,5132
148143654492,229,0
148143664346,962,1498248
148143687344,25,6025
148143865095,962,0
148143876643,959,1971031
148144003578,960,0
148145352747,16,9203
148145362030,43,490648
148145463602,960,0
148146567180,43,416293
148146698456,55,554245
148146787577,43,68429
148147615161,25,553203
148148351569,43,439190
148148433272,55,0
148148441502,960,0
148149510174,229,406178
148149531357,959,5151725
148149623666,963,97522
148149967399,962,2914323
148149984832,959,47538
148150027718,960,0
148150570937,229,590907
148150783043,960,0
148151622205,229,460171
148151670596,43,3399
148151757060,229,0
148151762965,25,1801270
148151817119,959,1484063
148151921097,963,110725
148152952677,43,245719
148153052645,959,831172
148153110309,960,0
148154436951,16,10135
148154445663,43,551459
148154583735,55,698503
148155404723,43,731947
148155540941,55,0
148155550274,959,2126447
148156359502,43,520241
148156457455,959,0
148156538667,963,0
148156881117,25,5935
148156957115,963,0
148156965105,959,110645
148157023500,960,0
148158291156,16,7729
148158298344,43,505154
148158431745,229,646284
148159838376,43,5263
148159847729,962,1326231
148160848462,43,10456
148160855740,229,0
148160883209,43,2386
148160959819,229,0
148160967768,963,2185203
148160982355,959,3625508
148161076007,962,0
148162336104,43,499479
148162422759,16,94414
148162432834,959,1023139
148162486297,960,0
148163512584,55,476553
148163545355,43,3599
148163718385,55,0
148163728079,959,952243
148164695189,43,534136
148164788791,55,139927
148164802124,959,0
148164892759,962,0
148166305635,16,12100
148166315269,229,504893
148166333114,963,5013
148166361995,43,3879
148166469502,963,0
148166479016,959,1194836
148166565450,960,0
148167671816,963,415642
148167728988,43,5153
148167824264,963,0
148167832164,959,954118
148167898258,962,0
148169010187,963,247193
148169046337,25,6727
148169061495,11,8652
148169906712,25,0
148169915654,963,0
148169946441,229,4652
148170842936,43,5494
